END T0
ENTITY T1
INTENT T2
DOMAIN T3
TEMP T4
FIND T5
TASTING T6
REACTION T7
SYMPTOMS T8
MAILBOX T9
PACKAGE T10
MICROWAVE T11
WINDOWS T12
SHUFFLE T13
WEBINAR T14
RECOMM T15
COFFEE T16
DESTINATION T17
INTEREST T18
PASSPORT T19
AND T20
BICYCLE T21
SECURITYCAMERA T22
INSOMNIA T23
SEND T24
CANCELLATION T25
PAST T26
ADJUSTMENT T27
SPEED T28
REMINDER T29
CAR T30
ON T31
BREAK T32
CURTAINCONTROL T33
GOLF T34
PREPARATION T35
TRANSACTIONS T36
QUANTITY T37
HEATING T38
PATIENTINFO T39
EVENT T40
DEACTIVATE T41
LIGHTSETTING T42
INVEST T43
GAME T44
BLOOD T45
CHANGES T46
UP T47
DURATION T48
GARAGECONTROL T49
COMPUTER T50
CANCELING T51
SAFETY T52
PREFERENCES T53
NOT T54
CRUISE T55
EXPENSES T56
DISCOVERY T57
RELATION T58
ANNIVERSARY T59
RECORD T60
RESOURCES T61
RECIPE T62
RESERVE T63
CREATION T64
INACTIVITY T65
WINE T66
ALARMSETTING T67
RATIO T68
CREATE T69
UNAUTHORIZED T70
ENTRY T71
WEIGHT T72
LODGE T73
FANSPEED T74
MEASURING T75
TRANSFER T76
LIMOUSINE T77
STUDENT T78
DEHUMIDIFIER T79
BOOK T80
RATE T81
FRIENDS T82
METRICS T83
TRAVEL T84
COOKING T85
MOVIE T86
AEROBICS T87
FAVORITES T88
REMINDERSETTING T89
TICKETS T90
UNLOCK T91
TRIP T92
APPROVAL T93
CONCERN T94
UPCOMING T95
VOLUMECHANGE T96
SMARTHOME T97
WEEKEND T98
DELAY T99
SPRINKLERCONTROL T100
VIDEOCALL T101
CONTROL T102
CANCEL T103
REFERRAL T104
SET T105
FERRY T106
EMOTION T107
MODE T108
AD T109
ADJUST T110
REWIND T111
PREPARE T112
FINANCE T113
ENGAGEMENT T114
USER T115
ENDURANCE T116
CHARGE T117
RESULT T118
HEATER T119
CARD T120
WASH T121
ENTERTAINMENT T122
ASSISTANT T123
CYCLING T124
INJURY T125
FOREIGN T126
NEW T127
MAKING T128
DEAL T129
LIMIT T130
MESSAGESENDING T131
PAUSE T132
AIRBNB T133
INGREDIENT T134
LATER T135
METRO T136
SURGERY T137
RECOMMENDATION T138
BLOG T139
EXCESSIVE T140
ITEMS T141
CHRONIC T142
AT T143
TIME T144
GROCERY T145
ENVIRONMENT T146
FEELINGS T147
AEROBIC T148
MOOD T149
TASK T150
NEWSCONTROL T151
HAT T152
GETAWAY T153
REFILL T154
FEELING T155
TURN T156
PROCESSING T157
FANCONTROL T158
DESCRIPTION T159
WASHINGMACHINE T160
STAT T161
SECTION T162
LIGHT T163
PATTERN T164
AIRPURIFIERSETTING T165
COOLING T166
CARDIAC T167
APPROVE T168
LANGUAGE T169
BODYFAT T170
COLLECT T171
TEST T172
FUTURE T173
SEOUL T174
HOME T175
LOST T176
NOTIFICATIONS T177
BIRTHDAY T178
